district,less than highschool,highschool,college or associate,bachelor or higher,state
50,0.0617,0.2644,0.3473,0.3266,connecticut
51,0.1006,0.3633,0.3121,0.224,connecticut
52,0.0769,0.3365,0.2842,0.3024,connecticut
53,0.0272,0.2716,0.2773,0.4239,connecticut
54,0.0167,0.0959,0.7082,0.1792,connecticut
55,0.0352,0.2481,0.2712,0.4455,connecticut
56,0.0814,0.3434,0.26,0.3152,connecticut
57,0.0574,0.25,0.2933,0.3993,connecticut
58,0.0642,0.3478,0.3277,0.2603,connecticut
59,0.081,0.3044,0.2974,0.3172,connecticut
60,0.0555,0.3053,0.2897,0.3495,connecticut
61,0.0814,0.2211,0.2553,0.4421,connecticut
62,0.0314,0.2268,0.2747,0.4672,connecticut
63,0.0607,0.3475,0.3095,0.2823,connecticut
64,0.0566,0.277,0.2787,0.3876,connecticut
65,0.1217,0.3872,0.3048,0.1863,connecticut
66,0.0545,0.2568,0.2662,0.4226,connecticut
67,0.0577,0.2431,0.3052,0.394,connecticut
68,0.079,0.3007,0.3003,0.32,connecticut
69,0.0513,0.2008,0.237,0.5109,connecticut
70,0.0804,0.296,0.3575,0.2661,connecticut
71,0.1003,0.3159,0.2734,0.3104,connecticut
72,0.2252,0.3762,0.3037,0.0949,connecticut
73,0.1329,0.3586,0.3145,0.194,connecticut
74,0.1324,0.4074,0.2802,0.18,connecticut
75,0.3245,0.3679,0.2076,0.1,connecticut
76,0.0571,0.2709,0.2918,0.3802,connecticut
77,0.0969,0.3235,0.3136,0.266,connecticut
78,0.0754,0.3409,0.3025,0.2812,connecticut
79,0.1163,0.3346,0.3217,0.2274,connecticut
80,0.055,0.2878,0.3157,0.3416,connecticut
81,0.0765,0.293,0.2744,0.3561,connecticut
82,0.0896,0.385,0.2863,0.2391,connecticut
83,0.0928,0.3231,0.3042,0.2799,connecticut
84,0.2188,0.3631,0.2505,0.1676,connecticut
85,0.0793,0.3332,0.2671,0.3204,connecticut
86,0.0437,0.3146,0.2548,0.3868,connecticut
87,0.0429,0.2981,0.2208,0.4381,connecticut
88,0.0258,0.2313,0.3135,0.4293,connecticut
89,0.0607,0.2623,0.2609,0.4161,connecticut
90,0.09,0.259,0.2215,0.4295,connecticut
91,0.0823,0.2359,0.2447,0.4371,connecticut
92,0.1118,0.3013,0.2495,0.3374,connecticut
93,0.1,0.3704,0.3197,0.2099,connecticut
94,0.0713,0.3231,0.2813,0.3243,connecticut
95,0.2664,0.4012,0.215,0.1174,connecticut
96,0.0638,0.1821,0.194,0.5601,connecticut
97,0.1496,0.3732,0.2286,0.2485,connecticut
98,0.0413,0.1844,0.2108,0.5635,connecticut
99,0.1014,0.4243,0.2607,0.2136,connecticut
100,0.0755,0.3103,0.285,0.3292,connecticut
101,0.0392,0.1681,0.1886,0.6042,connecticut
102,0.0483,0.2932,0.2462,0.4122,connecticut
103,0.0915,0.2355,0.212,0.4609,connecticut
104,0.1147,0.3709,0.2761,0.2383,connecticut
105,0.0515,0.3529,0.3037,0.292,connecticut
106,0.0384,0.2276,0.2453,0.4887,connecticut
107,0.0468,0.2358,0.2525,0.4649,connecticut
108,0.0555,0.2906,0.2543,0.3996,connecticut
109,0.1557,0.2796,0.261,0.3036,connecticut
110,0.2134,0.2978,0.2605,0.2283,connecticut
111,0.0212,0.0989,0.1875,0.6924,connecticut
112,0.0506,0.227,0.2555,0.4668,connecticut
113,0.0556,0.2517,0.2816,0.4111,connecticut
114,0.0405,0.196,0.2279,0.5356,connecticut
115,0.1443,0.3721,0.2759,0.2077,connecticut
116,0.1234,0.3772,0.3188,0.1806,connecticut
117,0.0571,0.2895,0.2599,0.3935,connecticut
118,0.0489,0.2455,0.2831,0.4224,connecticut
119,0.043,0.2066,0.2636,0.4867,connecticut
120,0.068,0.2863,0.3012,0.3445,connecticut
121,0.1152,0.3346,0.3047,0.2456,connecticut
122,0.059,0.252,0.2483,0.4407,connecticut
123,0.0444,0.1831,0.2095,0.563,connecticut
124,0.2664,0.3385,0.2817,0.1133,connecticut
125,0.0432,0.088,0.1572,0.7116,connecticut
126,0.1621,0.3373,0.2847,0.2159,connecticut
127,0.1403,0.288,0.3266,0.2451,connecticut
128,0.3346,0.3504,0.2235,0.0915,connecticut
129,0.1797,0.2805,0.2689,0.2709,connecticut
130,0.283,0.3057,0.2642,0.1471,connecticut
131,0.0656,0.2639,0.2677,0.4027,connecticut
132,0.041,0.1294,0.1855,0.6441,connecticut
133,0.056,0.1926,0.2416,0.5099,connecticut
134,0.0495,0.1991,0.2109,0.5405,connecticut
135,0.0306,0.0935,0.1857,0.6902,connecticut
136,0.0268,0.0972,0.12,0.756,connecticut
137,0.1083,0.2161,0.2323,0.4433,connecticut
138,0.0778,0.221,0.2843,0.4169,connecticut
139,0.0882,0.3598,0.3509,0.2011,connecticut
140,0.1773,0.3055,0.2458,0.2714,connecticut
141,0.056,0.0792,0.1138,0.7509,connecticut
142,0.0762,0.1564,0.2551,0.5123,connecticut
143,0.0606,0.1823,0.2032,0.5539,connecticut
144,0.052,0.1989,0.1942,0.5549,connecticut
145,0.1967,0.2876,0.2041,0.3115,connecticut
146,0.0775,0.137,0.1582,0.6273,connecticut
147,0.0678,0.1531,0.2014,0.5776,connecticut
148,0.1465,0.2383,0.257,0.3582,connecticut
149,0.0531,0.1279,0.1516,0.6675,connecticut
150,0.07,0.1552,0.1684,0.6064,connecticut
151,0.042,0.1021,0.1227,0.7333,connecticut
1,0.0838,0.3851,0.2585,0.2726,delaware
