district,under 20,20 to 34,35 to 49,50 to 64,65 and over,median age,state
31,24.8,13.25,19.29,22.65,20.02,45.0,connecticut
32,21.84,16.29,18.89,23.15,19.84,42.9,connecticut
33,20.04,30.63,17.23,19.44,12.66,34.4,connecticut
34,21.49,14.48,17.75,26.94,19.34,47.5,connecticut
35,18.98,16.23,16.9,26.27,21.62,48.6,connecticut
36,20.58,12.65,19.4,24.51,22.85,48.3,connecticut
37,19.97,17.33,17.58,23.04,22.07,45.9,connecticut
38,19.96,18.33,14.95,25.6,21.16,48.2,connecticut
39,25.16,27.75,18.62,17.58,10.89,31.7,connecticut
40,25.56,32.27,15.21,15.42,11.54,29.5,connecticut
41,21.03,24.16,13.53,18.14,23.14,40.6,connecticut
42,21.98,22.8,17.85,22.43,14.94,38.9,connecticut
43,19.07,11.88,18.64,24.88,25.54,50.3,connecticut
44,22.08,20.18,18.18,24.69,14.88,42.1,connecticut
45,21.77,17.81,18.38,23.31,18.73,45.3,connecticut
46,23.34,26.36,17.95,18.03,14.32,35.2,connecticut
47,21.9,15.58,19.06,24.56,18.9,45.4,connecticut
48,24.02,15.26,21.2,21.93,17.59,42.1,connecticut
49,27.99,27.5,15.89,15.38,13.24,31.5,connecticut
50,22.85,15.05,19.57,23.43,19.11,45.3,connecticut
51,20.84,16.69,17.17,27.17,18.13,45.5,connecticut
52,21.61,17.28,18.49,24.32,18.31,44.1,connecticut
53,20.67,22.93,17.64,23.61,15.14,39.6,connecticut
54,33.86,45.23,6.52,6.15,8.24,21.0,connecticut
55,22.8,13.74,19.86,26.14,17.45,45.6,connecticut
56,20.38,28.13,17.43,18.47,15.6,35.8,connecticut
57,22.36,19.41,19.89,20.48,17.85,40.7,connecticut
58,22.2,21.82,17.06,21.45,17.47,39.2,connecticut
59,17.73,23.22,20.5,22.59,15.95,41.8,connecticut
60,21.25,17.05,19.98,23.03,18.69,44.2,connecticut
61,21.38,17.04,20.69,24.43,16.46,44.1,connecticut
62,24.65,12.04,17.49,27.23,18.59,47.2,connecticut
63,16.73,14.89,16.74,27.43,24.22,51.4,connecticut
64,18.98,12.22,16.41,24.74,27.66,51.6,connecticut
65,21.6,20.41,18.88,23.04,16.07,41.3,connecticut
66,19.33,12.88,14.03,25.97,27.78,53.3,connecticut
67,22.98,17.6,18.18,26.11,15.14,42.8,connecticut
68,17.77,19.39,17.38,23.33,22.14,47.0,connecticut
69,19.83,11.88,15.13,22.56,30.6,52.8,connecticut
70,23.03,20.16,18.43,24.77,13.61,39.8,connecticut
71,22.0,21.14,16.93,22.78,17.15,41.1,connecticut
72,29.99,19.88,19.1,16.76,14.26,35.2,connecticut
73,27.86,21.81,19.21,17.28,13.84,35.4,connecticut
74,22.22,22.71,16.36,23.84,14.87,40.6,connecticut
75,28.87,22.04,17.08,18.41,13.6,34.6,connecticut
76,23.98,13.61,21.91,23.43,17.07,44.0,connecticut
77,22.68,17.7,20.62,19.47,19.53,41.9,connecticut
78,20.34,16.89,18.89,28.01,15.86,45.0,connecticut
79,24.74,21.15,19.88,18.3,15.93,36.6,connecticut
80,21.85,16.02,18.06,22.88,21.19,45.9,connecticut
81,19.44,17.56,15.95,23.12,23.92,48.1,connecticut
82,19.31,16.74,20.28,24.54,19.13,45.5,connecticut
83,22.87,16.32,19.49,23.27,18.04,43.6,connecticut
84,24.56,25.86,19.14,19.3,11.15,34.6,connecticut
85,19.07,18.26,19.19,20.62,22.86,44.8,connecticut
86,20.82,13.58,16.2,27.37,22.02,49.7,connecticut
87,20.18,15.93,19.02,21.94,22.92,46.4,connecticut
88,23.77,30.22,11.48,18.11,16.42,31.4,connecticut
89,21.27,14.04,19.48,25.52,19.7,47.2,connecticut
90,20.64,18.23,21.18,21.5,18.45,43.6,connecticut
91,22.15,20.9,18.89,18.92,19.14,40.0,connecticut
92,24.22,29.02,19.25,16.28,11.23,32.8,connecticut
93,31.78,32.4,15.6,11.02,9.19,25.5,connecticut
94,29.58,28.04,18.5,15.9,7.98,30.1,connecticut
95,33.43,20.89,19.63,15.16,10.9,31.3,connecticut
96,17.4,39.47,19.54,14.31,9.28,31.7,connecticut
97,25.66,20.74,18.48,18.44,16.67,37.9,connecticut
98,21.64,10.17,16.65,24.53,27.01,50.7,connecticut
99,24.21,18.57,17.71,21.45,18.06,40.9,connecticut
100,20.36,19.74,18.23,21.63,20.04,43.3,connecticut
101,22.28,12.21,16.68,25.37,23.47,49.3,connecticut
102,16.99,18.29,14.98,26.78,22.96,49.7,connecticut
103,20.2,16.39,19.31,22.87,21.24,46.2,connecticut
104,20.82,18.86,20.49,22.23,17.6,41.3,connecticut
105,22.38,16.37,19.22,22.73,19.29,45.8,connecticut
106,22.97,13.83,20.27,25.44,17.5,45.9,connecticut
107,24.8,15.67,18.22,23.12,18.19,44.0,connecticut
108,21.45,18.23,16.88,25.98,17.46,45.1,connecticut
109,27.22,20.02,18.31,19.44,15.01,37.2,connecticut
110,21.86,25.02,21.83,19.87,11.42,36.3,connecticut
111,27.93,8.68,20.56,24.44,18.39,46.0,connecticut
112,27.59,13.97,18.44,25.59,14.41,42.3,connecticut
113,16.74,19.85,17.55,25.29,20.58,47.4,connecticut
114,22.26,12.6,20.51,22.48,22.16,46.8,connecticut
115,23.88,24.56,20.34,18.98,12.24,36.2,connecticut
116,29.67,23.93,18.89,17.75,9.76,32.5,connecticut
117,17.71,20.38,13.49,25.56,22.87,48.6,connecticut
118,18.65,21.32,18.58,22.58,18.88,42.2,connecticut
119,23.03,17.02,18.31,23.2,18.44,43.0,connecticut
120,20.51,18.33,19.2,22.57,19.38,43.8,connecticut
121,22.58,20.52,17.75,23.77,15.38,40.1,connecticut
122,20.54,13.1,15.92,23.38,27.06,50.4,connecticut
123,29.12,11.42,21.94,19.36,18.16,42.1,connecticut
124,28.78,23.31,19.23,16.15,12.53,34.1,connecticut
125,30.66,9.82,19.42,24.01,16.08,43.7,connecticut
126,25.28,21.25,18.92,21.26,13.3,37.9,connecticut
127,25.36,20.28,21.73,16.43,16.21,39.1,connecticut
128,29.99,28.27,19.7,15.48,6.55,30.4,connecticut
129,22.82,25.11,20.55,20.72,10.81,35.9,connecticut
130,29.39,23.95,19.05,16.43,11.18,32.0,connecticut
131,23.33,12.61,20.61,24.46,18.99,45.2,connecticut
132,27.41,13.95,19.06,23.32,16.26,43.1,connecticut
133,29.95,19.47,18.2,19.01,13.37,35.7,connecticut
134,29.52,10.9,19.29,22.62,17.68,44.0,connecticut
135,24.93,9.62,16.41,29.81,19.24,49.5,connecticut
136,29.46,8.12,18.96,25.41,18.05,46.3,connecticut
137,18.68,22.64,22.94,19.81,15.93,40.0,connecticut
138,24.24,18.05,19.83,21.29,16.6,41.4,connecticut
139,22.03,17.92,17.31,24.53,18.22,43.8,connecticut
140,25.03,25.6,19.61,18.3,11.46,34.6,connecticut
141,30.76,11.52,21.58,20.89,15.25,41.5,connecticut
142,23.59,15.56,19.4,24.04,17.41,43.4,connecticut
143,25.61,15.23,17.72,25.91,15.52,44.4,connecticut
144,22.59,16.52,20.03,21.98,18.88,43.3,connecticut
145,23.46,23.05,21.86,15.31,16.33,36.9,connecticut
146,15.96,37.56,19.39,15.41,11.67,33.4,connecticut
147,25.65,13.17,21.76,22.55,16.87,42.9,connecticut
148,23.98,26.45,18.86,19.13,11.58,34.7,connecticut
149,23.93,12.14,18.69,23.76,21.48,46.9,connecticut
150,28.24,13.3,21.09,21.43,15.93,41.5,connecticut
151,30.94,9.69,20.03,23.28,16.06,43.8,connecticut
1,22.94,20.83,19.67,23.29,13.27,39.8,delaware
2,30.94,25.02,17.95,17.05,9.05,31.8,delaware
3,25.03,22.19,19.14,20.98,12.66,36.5,delaware
4,17.02,23.59,14.35,18.83,26.22,44.2,delaware
5,27.96,17.79,21.14,19.4,13.71,37.9,delaware
6,24.05,15.19,20.35,21.89,18.52,42.2,delaware
7,20.77,20.51,16.28,22.94,19.5,41.8,delaware
8,26.77,17.35,18.88,17.66,19.34,39.5,delaware
9,26.43,16.01,23.16,20.69,13.7,40.7,delaware
10,25.49,16.77,16.35,19.71,21.68,43.6,delaware
11,24.98,17.0,20.21,22.42,15.39,41.6,delaware
12,23.82,10.87,20.77,19.54,25.0,47.3,delaware
13,25.37,21.8,19.77,19.93,13.12,37.0,delaware
14,11.24,8.48,11.97,28.51,39.8,60.9,delaware
15,21.54,19.04,20.41,25.83,13.18,41.6,delaware
16,25.92,18.67,21.06,20.74,13.61,38.5,delaware
17,21.61,20.97,20.33,23.29,13.8,41.2,delaware
18,21.83,26.54,18.18,19.6,13.84,36.2,delaware
19,23.81,19.54,16.99,23.14,16.52,41.1,delaware
20,15.94,15.74,10.68,24.0,33.64,56.3,delaware
21,21.67,22.09,20.78,19.76,15.69,38.6,delaware
