district,household language not english,state
21,16.9,indiana
22,14.3,indiana
23,11.3,indiana
24,11.9,indiana
25,5.9,indiana
26,21.0,indiana
27,13.8,indiana
28,3.1,indiana
29,5.2,indiana
30,4.4,indiana
31,2.5,indiana
32,3.9,indiana
33,3.3,indiana
34,4.6,indiana
35,2.7,indiana
36,5.3,indiana
37,12.0,indiana
38,7.5,indiana
39,12.5,indiana
40,8.9,indiana
41,4.6,indiana
42,3.7,indiana
43,4.5,indiana
44,2.7,indiana
45,2.7,indiana
46,4.1,indiana
47,2.8,indiana
48,9.7,indiana
49,28.0,indiana
50,5.3,indiana
51,26.3,indiana
52,4.7,indiana
53,3.4,indiana
54,1.8,indiana
55,3.5,indiana
56,5.4,indiana
57,3.9,indiana
58,9.7,indiana
59,14.8,indiana
60,6.4,indiana
61,10.8,indiana
62,5.9,indiana
63,10.9,indiana
64,1.9,indiana
65,1.7,indiana
66,3.1,indiana
67,1.5,indiana
68,2.4,indiana
69,6.0,indiana
70,2.8,indiana
71,7.2,indiana
72,3.3,indiana
73,2.3,indiana
74,3.1,indiana
75,3.4,indiana
76,2.2,indiana
77,5.3,indiana
78,4.9,indiana
79,9.7,indiana
80,23.0,indiana
81,11.3,indiana
82,12.9,indiana
83,4.5,indiana
84,8.2,indiana
85,8.3,indiana
86,10.3,indiana
87,7.7,indiana
88,5.3,indiana
89,8.7,indiana
90,10.9,indiana
91,13.0,indiana
92,21.2,indiana
93,17.5,indiana
94,21.0,indiana
95,13.9,indiana
96,9.1,indiana
97,15.0,indiana
98,11.1,indiana
99,23.8,indiana
100,8.5,indiana
1,4.3,iowa
2,3.2,iowa
3,4.1,iowa
4,8.6,iowa
5,6.0,iowa
6,8.9,iowa
7,4.9,iowa
8,6.1,iowa
9,5.6,iowa
10,3.3,iowa
11,23.7,iowa
12,3.3,iowa
13,22.7,iowa
14,23.1,iowa
15,10.7,iowa
16,7.5,iowa
17,2.9,iowa
18,17.7,iowa
19,2.7,iowa
20,10.8,iowa
21,2.9,iowa
22,1.3,iowa
23,2.2,iowa
24,3.2,iowa
25,2.5,iowa
26,2.9,iowa
27,8.0,iowa
28,2.7,iowa
29,4.3,iowa
30,3.5,iowa
31,10.4,iowa
32,27.7,iowa
33,24.8,iowa
34,12.7,iowa
35,31.0,iowa
36,13.9,iowa
37,5.8,iowa
38,4.8,iowa
39,10.9,iowa
40,12.9,iowa
41,12.1,iowa
42,12.8,iowa
43,13.3,iowa
44,13.5,iowa
45,16.1,iowa
46,14.1,iowa
47,3.3,iowa
48,4.8,iowa
49,3.5,iowa
50,3.3,iowa
51,4.6,iowa
52,6.4,iowa
53,3.6,iowa
54,6.0,iowa
55,3.8,iowa
56,9.3,iowa
57,3.2,iowa
58,2.4,iowa
59,6.3,iowa
60,7.0,iowa
61,16.1,iowa
62,8.6,iowa
63,1.8,iowa
64,3.2,iowa
65,6.4,iowa
66,9.6,iowa
67,6.7,iowa
68,2.1,iowa
69,7.1,iowa
70,6.4,iowa
71,27.7,iowa
72,8.4,iowa
73,4.1,iowa
74,25.1,iowa
75,2.9,iowa
76,3.7,iowa
77,11.1,iowa
78,5.9,iowa
79,3.3,iowa
80,2.6,iowa
81,13.1,iowa
82,16.0,iowa
83,2.3,iowa
84,5.8,iowa
85,9.1,iowa
86,18.4,iowa
87,4.1,iowa
88,14.7,iowa
89,7.2,iowa
90,9.8,iowa
91,11.8,iowa
92,3.0,iowa
93,5.8,iowa
94,9.2,iowa
95,2.0,iowa
96,2.6,iowa
97,1.3,iowa
98,2.3,iowa
99,5.1,iowa
100,3.9,iowa
1,1.7,kansas
2,1.7,kansas
3,6.6,kansas
4,2.7,kansas
5,1.4,kansas
6,3.8,kansas
7,4.1,kansas
8,12.0,kansas
9,3.3,kansas
10,11.8,kansas
11,4.1,kansas
12,1.8,kansas
13,2.2,kansas
14,15.6,kansas
15,19.3,kansas
16,11.1,kansas
17,6.3,kansas
18,11.2,kansas
19,5.6,kansas
20,7.4,kansas
21,4.8,kansas
22,16.7,kansas
23,18.0,kansas
24,12.7,kansas
25,6.6,kansas
26,8.9,kansas
27,10.7,kansas
28,18.2,kansas
29,16.9,kansas
30,10.4,kansas
31,27.4,kansas
32,59.0,kansas
33,11.4,kansas
34,33.7,kansas
35,26.0,kansas
36,10.4,kansas
37,31.6,kansas
38,4.5,kansas
39,4.9,kansas
40,3.6,kansas
41,6.9,kansas
42,4.4,kansas
43,9.0,kansas
44,11.6,kansas
45,9.5,kansas
46,10.3,kansas
47,1.7,kansas
48,19.9,kansas
49,18.6,kansas
50,1.1,kansas
51,2.9,kansas
52,4.2,kansas
53,5.8,kansas
54,2.3,kansas
55,7.5,kansas
56,4.6,kansas
57,15.0,kansas
58,20.3,kansas
59,3.1,kansas
60,16.1,kansas
61,3.3,kansas
62,2.1,kansas
63,2.5,kansas
64,4.5,kansas
65,13.7,kansas
66,10.6,kansas
67,10.6,kansas
68,12.1,kansas
69,12.3,kansas
70,1.8,kansas
71,5.3,kansas
72,6.5,kansas
73,5.7,kansas
74,4.2,kansas
75,2.7,kansas
76,8.3,kansas
77,1.7,kansas
78,10.5,kansas
79,3.9,kansas
80,6.4,kansas
81,19.7,kansas
82,5.4,kansas
83,19.7,kansas
84,17.1,kansas
85,12.4,kansas
86,21.7,kansas
87,14.6,kansas
88,27.3,kansas
89,19.0,kansas
90,5.5,kansas
91,9.4,kansas
92,23.7,kansas
93,2.5,kansas
94,7.8,kansas
95,19.9,kansas
96,16.8,kansas
97,12.5,kansas
98,14.1,kansas
99,10.9,kansas
100,6.7,kansas
101,5.7,kansas
102,6.1,kansas
103,44.8,kansas
104,3.5,kansas
105,11.1,kansas
106,3.3,kansas
107,2.0,kansas
108,4.5,kansas
109,1.9,kansas
110,2.3,kansas
111,6.9,kansas
112,10.7,kansas
113,7.1,kansas
114,6.6,kansas
115,31.4,kansas
116,2.8,kansas
117,6.9,kansas
118,9.2,kansas
119,54.2,kansas
