district,earnings $1 - $24'999,earnings $25'000 - 49'999,earnings $50'000 - 74'999,earnings $75'000 or more,state,median earnings
7,0.0837,0.313,0.277,0.3263,delaware,46048
8,0.0983,0.2939,0.2504,0.3574,delaware,48915
9,0.0766,0.2012,0.2173,0.505,delaware,61201
10,0.127,0.24,0.2377,0.3953,delaware,44922
11,0.1087,0.3403,0.2466,0.3045,delaware,41078
12,0.077,0.1319,0.1736,0.6176,delaware,65492
13,0.1467,0.4257,0.2431,0.1845,delaware,33814
14,0.0949,0.3015,0.1977,0.4059,delaware,40227
15,0.08,0.2924,0.2423,0.3852,delaware,44557
16,0.1853,0.3572,0.2688,0.1887,delaware,37489
17,0.1641,0.3946,0.237,0.2043,delaware,37166
18,0.1356,0.384,0.2423,0.238,delaware,38662
19,0.0932,0.3735,0.2881,0.2452,delaware,36679
20,0.1225,0.3174,0.2751,0.285,delaware,35552
21,0.0956,0.2789,0.2695,0.356,delaware,45984
22,0.0615,0.1564,0.2293,0.5529,delaware,58780
23,0.0927,0.3349,0.1777,0.3947,delaware,25639
24,0.1655,0.3891,0.233,0.2124,delaware,31827
25,0.061,0.4331,0.1914,0.3145,delaware,25626
26,0.1424,0.3124,0.2568,0.2883,delaware,42183
27,0.0467,0.2538,0.2327,0.4667,delaware,54030
28,0.1481,0.4171,0.2855,0.1493,delaware,37252
29,0.1016,0.4072,0.2734,0.2179,delaware,42285
30,0.1494,0.4699,0.2475,0.1331,delaware,35409
31,0.1909,0.4674,0.1626,0.1791,delaware,22027
32,0.2066,0.3937,0.2324,0.1673,delaware,28801
33,0.1624,0.4191,0.248,0.1706,delaware,31383
34,0.1727,0.3117,0.2808,0.2348,delaware,35401
35,0.1446,0.5252,0.1959,0.1344,delaware,31462
36,0.1011,0.4548,0.2837,0.1605,delaware,35985
37,0.2028,0.4148,0.2353,0.1472,delaware,30850
38,0.0958,0.3333,0.1914,0.3795,delaware,36524
39,0.1911,0.3682,0.2347,0.2059,delaware,32066
