district,percent female,state
79,0.5134,iowa
80,0.4991,iowa
81,0.5208,iowa
82,0.5048,iowa
83,0.5,iowa
84,0.4879,iowa
85,0.4949,iowa
86,0.5,iowa
87,0.5263,iowa
88,0.4927,iowa
89,0.5204,iowa
90,0.4878,iowa
91,0.5092,iowa
92,0.5155,iowa
93,0.5201,iowa
94,0.5484,iowa
95,0.4959,iowa
96,0.4895,iowa
97,0.4947,iowa
98,0.5273,iowa
99,0.5293,iowa
100,0.5084,iowa
1,0.5089,kansas
2,0.5105,kansas
3,0.5061,kansas
4,0.511,kansas
5,0.5111,kansas
6,0.5107,kansas
7,0.5145,kansas
8,0.5054,kansas
9,0.5202,kansas
10,0.4898,kansas
11,0.5203,kansas
12,0.5046,kansas
13,0.5044,kansas
14,0.5224,kansas
15,0.501,kansas
16,0.5454,kansas
17,0.5225,kansas
18,0.5264,kansas
19,0.5053,kansas
20,0.5382,kansas
21,0.5394,kansas
22,0.516,kansas
23,0.5295,kansas
24,0.5361,kansas
25,0.5185,kansas
26,0.4957,kansas
27,0.5186,kansas
28,0.512,kansas
29,0.5512,kansas
30,0.537,kansas
31,0.5149,kansas
32,0.4764,kansas
33,0.5108,kansas
34,0.5708,kansas
35,0.5472,kansas
36,0.5317,kansas
37,0.5089,kansas
38,0.5143,kansas
39,0.504,kansas
40,0.4369,kansas
41,0.4472,kansas
42,0.4853,kansas
43,0.5032,kansas
44,0.5248,kansas
45,0.5265,kansas
46,0.496,kansas
47,0.4986,kansas
48,0.523,kansas
49,0.5242,kansas
50,0.5017,kansas
51,0.5064,kansas
52,0.5394,kansas
53,0.5405,kansas
54,0.4988,kansas
55,0.4996,kansas
56,0.5413,kansas
57,0.5192,kansas
58,0.5583,kansas
59,0.5191,kansas
60,0.5212,kansas
61,0.5015,kansas
62,0.5073,kansas
63,0.5222,kansas
64,0.4089,kansas
65,0.4486,kansas
66,0.4883,kansas
67,0.4774,kansas
68,0.4876,kansas
69,0.5169,kansas
70,0.5024,kansas
71,0.5117,kansas
72,0.517,kansas
73,0.5098,kansas
74,0.5215,kansas
75,0.4649,kansas
76,0.5121,kansas
77,0.5245,kansas
78,0.5034,kansas
79,0.4884,kansas
80,0.526,kansas
81,0.5086,kansas
82,0.5024,kansas
83,0.5438,kansas
84,0.5207,kansas
85,0.5393,kansas
86,0.4936,kansas
87,0.5025,kansas
88,0.5136,kansas
89,0.5429,kansas
90,0.5201,kansas
91,0.5188,kansas
92,0.487,kansas
93,0.5006,kansas
94,0.5119,kansas
95,0.5154,kansas
96,0.498,kansas
97,0.5152,kansas
98,0.5135,kansas
99,0.5123,kansas
100,0.5439,kansas
101,0.5079,kansas
102,0.4663,kansas
103,0.4296,kansas
104,0.5364,kansas
105,0.5269,kansas
106,0.5043,kansas
107,0.5008,kansas
108,0.4838,kansas
109,0.4979,kansas
110,0.4868,kansas
111,0.5073,kansas
112,0.5192,kansas
113,0.5122,kansas
114,0.4962,kansas
115,0.513,kansas
116,0.5089,kansas
117,0.4803,kansas
118,0.509,kansas
119,0.4687,kansas
120,0.5042,kansas
121,0.4932,kansas
122,0.4945,kansas
123,0.4956,kansas
124,0.5004,kansas
125,0.4947,kansas
1,0.519,kentucky
2,0.5174,kentucky
3,0.5313,kentucky
4,0.5095,kentucky
5,0.523,kentucky
6,0.4955,kentucky
7,0.5076,kentucky
