district,percent of tot. population in poverty,state
79,10.2,iowa
80,14.5,iowa
81,17.4,iowa
82,12.1,iowa
83,14.0,iowa
84,9.8,iowa
85,26.6,iowa
86,26.6,iowa
87,18.2,iowa
88,6.2,iowa
89,15.9,iowa
90,23.7,iowa
91,12.0,iowa
92,7.7,iowa
93,9.6,iowa
94,6.8,iowa
95,7.2,iowa
96,8.8,iowa
97,7.6,iowa
98,16.8,iowa
99,9.6,iowa
100,16.2,iowa
1,14.3,kansas
2,12.0,kansas
3,24.8,kansas
4,15.5,kansas
5,11.8,kansas
6,5.7,kansas
7,14.4,kansas
8,2.4,kansas
9,17.1,kansas
10,16.3,kansas
11,19.1,kansas
12,16.2,kansas
13,14.0,kansas
14,4.1,kansas
15,8.9,kansas
16,3.3,kansas
17,5.0,kansas
18,5.1,kansas
19,2.8,kansas
20,2.5,kansas
21,4.2,kansas
22,8.1,kansas
23,10.3,kansas
24,9.8,kansas
25,6.3,kansas
26,4.2,kansas
27,2.2,kansas
28,3.5,kansas
29,4.1,kansas
30,5.3,kansas
31,20.9,kansas
32,28.5,kansas
33,14.3,kansas
34,26.4,kansas
35,21.3,kansas
36,4.2,kansas
37,16.3,kansas
38,5.0,kansas
39,2.1,kansas
40,6.8,kansas
41,12.6,kansas
42,7.0,kansas
43,5.9,kansas
44,13.5,kansas
45,10.4,kansas
46,29.5,kansas
47,6.1,kansas
48,3.5,kansas
49,7.8,kansas
50,5.7,kansas
51,7.9,kansas
52,4.9,kansas
53,11.7,kansas
54,7.8,kansas
55,15.1,kansas
56,11.6,kansas
57,17.8,kansas
58,16.7,kansas
59,10.5,kansas
60,18.2,kansas
61,8.4,kansas
62,11.1,kansas
63,14.9,kansas
64,8.6,kansas
65,19.1,kansas
66,38.5,kansas
67,11.7,kansas
68,9.9,kansas
69,12.8,kansas
70,8.7,kansas
71,11.7,kansas
72,9.9,kansas
73,8.9,kansas
74,9.0,kansas
75,14.0,kansas
76,13.6,kansas
77,7.2,kansas
78,2.9,kansas
79,13.5,kansas
80,13.4,kansas
81,13.8,kansas
82,7.7,kansas
83,23.3,kansas
84,21.6,kansas
85,9.6,kansas
86,22.0,kansas
87,10.1,kansas
88,12.6,kansas
89,24.0,kansas
90,4.5,kansas
91,4.3,kansas
92,11.4,kansas
93,6.2,kansas
94,3.3,kansas
95,26.0,kansas
96,25.8,kansas
97,11.3,kansas
98,17.8,kansas
99,4.8,kansas
100,9.4,kansas
101,5.4,kansas
102,17.1,kansas
103,24.9,kansas
104,9.0,kansas
105,10.3,kansas
106,9.2,kansas
107,11.9,kansas
108,7.1,kansas
109,12.1,kansas
110,10.0,kansas
111,14.9,kansas
112,14.1,kansas
113,12.4,kansas
114,10.2,kansas
115,6.8,kansas
