district,"management, business, science, and arts occupations",service occupations,sales and office occupations,blue collar occupations,state
27,0.4494,0.1572,0.2429,0.1506,connecticut
28,0.4867,0.158,0.2344,0.1209,connecticut
29,0.5124,0.1256,0.2392,0.1228,connecticut
30,0.4711,0.1234,0.2532,0.1523,connecticut
31,0.6496,0.0845,0.1955,0.0704,connecticut
32,0.4746,0.1239,0.244,0.1575,connecticut
33,0.4502,0.1653,0.2712,0.1133,connecticut
34,0.4564,0.1589,0.2032,0.1816,connecticut
35,0.4341,0.1676,0.2362,0.1621,connecticut
36,0.4839,0.1562,0.2039,0.156,connecticut
37,0.5056,0.1385,0.2012,0.1547,connecticut
38,0.4161,0.2061,0.2067,0.1712,connecticut
39,0.2744,0.3348,0.2188,0.172,connecticut
40,0.4513,0.1707,0.2029,0.175,connecticut
41,0.4336,0.2265,0.2235,0.1164,connecticut
42,0.4052,0.2421,0.195,0.1577,connecticut
43,0.439,0.1614,0.2163,0.1834,connecticut
44,0.2799,0.236,0.2417,0.2424,connecticut
45,0.3006,0.2275,0.209,0.2628,connecticut
46,0.2159,0.3942,0.2225,0.1674,connecticut
47,0.3497,0.2012,0.2112,0.2379,connecticut
48,0.4542,0.1787,0.2052,0.162,connecticut
49,0.2496,0.277,0.2637,0.2098,connecticut
50,0.4324,0.1479,0.21,0.2098,connecticut
51,0.3046,0.1844,0.256,0.255,connecticut
52,0.3616,0.1655,0.2223,0.2505,connecticut
53,0.4258,0.1513,0.2019,0.221,connecticut
54,0.3507,0.2854,0.2844,0.0795,connecticut
55,0.5039,0.1285,0.2335,0.1341,connecticut
56,0.4048,0.1715,0.22,0.2038,connecticut
57,0.4093,0.1456,0.2494,0.1957,connecticut
58,0.3213,0.1971,0.2778,0.2037,connecticut
59,0.3824,0.1428,0.2769,0.1979,connecticut
60,0.4754,0.1172,0.234,0.1735,connecticut
61,0.5339,0.1225,0.2221,0.1215,connecticut
62,0.4904,0.1007,0.2454,0.1635,connecticut
63,0.3466,0.1852,0.2272,0.2409,connecticut
64,0.429,0.1885,0.1868,0.1957,connecticut
